it.	N	N_h	N_v
398	285	101	184
399	286	95	191
400	285	98	187
401	286	107	179
402	287	107	180
403	288	106	182
404	294	107	187
405	295	106	189
406	289	104	185
407	289	106	183
408	290	109	181
409	299	115	184
410	294	111	183
411	282	109	173
412	281	103	178
413	277	107	170
414	277	110	167
415	284	108	176
416	275	106	169
417	279	109	170
418	274	105	169
419	269	105	164
420	270	100	170
421	275	100	175
422	277	100	177
423	283	107	176
424	272	100	172
425	272	104	168
426	274	101	173
427	291	103	188
428	293	106	187
429	281	96	185
430	281	102	179
431	294	109	185
432	278	102	176
433	278	106	172
434	271	100	171
435	263	100	163
436	269	96	173
437	274	100	174
438	290	108	182
439	291	106	185
440	286	104	182
441	274	99	175
442	272	94	178
443	282	96	186
444	287	100	187
445	291	106	185
446	299	112	187
447	291	110	181
448	299	115	184
449	297	117	180
450	295	110	185
451	294	111	183
452	281	108	173
453	294	111	183
454	285	107	178
455	279	100	179
456	285	100	185
457	291	106	185
458	282	102	180
459	281	100	181
460	286	97	189
461	278	94	184
462	273	98	175
463	280	96	184
464	281	98	183
465	283	103	180
466	292	105	187
467	289	104	185
468	292	107	185
469	291	107	184
470	289	99	190
471	293	104	189
472	286	101	185
473	272	91	181
474	258	79	179
475	282	91	191
476	281	90	191
477	277	96	181
478	282	99	183
479	268	93	175
480	271	95	176
481	283	95	188
482	286	98	188
483	284	104	180
484	284	105	179
485	291	107	184
486	291	108	183
487	294	106	188
488	296	108	188
489	290	103	187
490	278	104	174
491	273	101	172
492	279	107	172
493	274	105	169
494	277	111	166
495	274	111	163
496	270	110	160
497	279	117	162
498	279	115	164
499	279	111	168
500	281	108	173
501	290	110	180
502	290	110	180
503	291	111	180
504	291	113	178
505	290	108	182
506	284	105	179
507	283	110	173
508	285	109	176
509	284	113	171
510	282	117	165
511	289	117	172
512	291	124	167
513	288	125	163
514	290	119	171
515	270	109	161
516	265	108	157
517	263	109	154
518	257	98	159
519	267	102	165
520	265	102	163
521	269	103	166
522	272	102	170
523	277	103	174
524	277	104	173
525	282	104	178
526	290	107	183
527	289	106	183
528	277	108	169
529	266	98	168
530	275	100	175
531	280	100	180
532	290	107	183
533	295	102	193
534	287	104	183
535	276	97	179
536	274	102	172
537	280	105	175
538	283	110	173
539	275	107	168
540	271	107	164
541	276	103	173
542	277	103	174
543	276	100	176
544	276	97	179
545	283	95	188
546	285	97	188
547	279	98	181
548	291	108	183
549	271	99	172
550	277	98	179
551	278	103	175
552	268	96	172
553	272	99	173
554	275	104	171
555	273	102	171
556	276	96	180
557	278	94	184
558	281	102	179
559	281	108	173
560	284	99	185
561	294	100	194
562	305	104	201
563	283	105	178
564	289	108	181
565	279	109	170
566	286	112	174
567	279	111	168
568	284	113	171
569	284	113	171
570	277	115	162
571	283	117	166
572	295	120	175
573	290	119	171
574	286	113	173
575	282	113	169
576	297	116	181
577	300	124	176
578	291	118	173
579	297	115	182
580	290	111	179
581	290	114	176
582	281	111	170
583	277	108	169
584	268	100	168
585	267	101	166
586	280	114	166
587	281	113	168
588	286	117	169
589	296	119	177
590	294	116	178
591	295	117	178
592	278	108	170
593	280	107	173
594	288	113	175
595	285	109	176
596	279	107	172
597	290	110	180
598	291	113	178
599	283	110	173
600	282	108	174
601	286	112	174
602	281	108	173
603	281	107	174
604	289	110	179
605	299	118	181
606	290	113	177
607	292	115	177
608	283	111	172
609	287	116	171
610	298	116	182
611	303	112	191
612	287	107	180
613	284	106	178
614	285	110	175
615	288	110	178
616	290	111	179
617	289	113	176
618	292	120	172
619	294	115	179
620	294	110	184
621	287	114	173
622	286	110	176
623	293	109	184
624	292	112	180
625	289	113	176
626	287	110	177
627	278	105	173
628	282	106	176
629	283	102	181
630	288	102	186
631	287	106	181
632	277	108	169
633	277	108	169
634	276	109	167
635	286	114	172
636	293	117	176
637	278	113	165
638	290	117	173
639	289	123	166
640	292	120	172
641	289	121	168
642	289	119	170
643	280	113	167
644	267	106	161
645	269	108	161
646	280	109	171
647	284	112	172
648	284	111	173
649	289	117	172
650	289	122	167
651	284	115	169
652	282	110	172
653	280	109	171
654	284	108	176
655	285	110	175
656	285	109	176
657	274	105	169
658	269	98	171
659	285	107	178
660	287	106	181
661	275	98	177
662	265	92	173
663	273	93	180
664	284	109	175
665	288	112	176
666	287	110	177
667	279	107	172
668	273	106	167
669	287	114	173
670	287	115	172
671	275	110	165
672	275	102	173
673	273	107	166
674	278	112	166
675	278	106	172
676	278	111	167
677	275	110	165
678	270	111	159
679	282	119	163
680	280	116	164
681	287	115	172
682	287	116	171
683	278	113	165
684	287	113	174
685	293	116	177
686	285	115	170
687	291	116	175
688	296	124	172
689	284	119	165
690	289	125	164
691	283	121	162
692	284	120	164
693	285	120	165
694	279	117	162
695	270	111	159
696	265	114	151
697	277	118	159
698	262	114	148
699	271	119	152
700	278	119	159
701	277	119	158
702	276	120	156
703	283	120	163
704	282	117	165
705	274	121	153
706	280	123	157
707	290	131	159
708	283	121	162
709	283	122	161
710	286	123	163
711	284	123	161
712	286	119	167
713	283	118	165
714	288	120	168
715	276	111	165
716	272	114	158
717	285	117	168
718	282	114	168
719	282	120	162
720	286	114	172
721	280	117	163
722	293	124	169
723	297	125	172
724	283	121	162
725	284	125	159
726	266	124	142
727	279	125	154
728	279	117	162
729	275	123	152
730	275	124	151
731	282	125	157
732	283	125	158
733	288	127	161
734	290	128	162
735	289	123	166
736	283	121	162
737	284	122	162
738	280	117	163
739	285	122	163
740	281	117	164
741	283	115	168
742	287	119	168
743	286	122	164
744	278	117	161
745	277	114	163
746	284	115	169
747	282	112	170
748	278	110	168
749	285	111	174
750	282	106	176
751	270	100	170
752	271	108	163
753	268	103	165
754	276	106	170
755	276	103	173
756	264	105	159
757	266	101	165
758	267	109	158
759	274	111	163
760	286	116	170
761	283	112	171
762	277	111	166
763	288	114	174
764	291	117	174
765	299	122	177
766	296	116	180
767	296	117	179
768	303	120	183
769	293	115	178
770	301	121	180
771	286	119	167
772	286	121	165
773	287	122	165
774	276	112	164
775	280	119	161
776	284	116	168
777	290	121	169
778	279	114	165
