it.	N	N_h	N_v
0	209	121	88
1	235	139	96
2	256	150	106
3	263	151	112
4	283	158	125
5	288	166	122
6	290	168	122
7	286	169	117
8	297	167	130
9	306	168	138
10	298	164	134
11	304	165	139
12	309	168	141
13	306	166	140
14	303	166	137
15	308	170	138
16	306	173	133
17	309	173	136
18	311	174	137
19	313	168	145
20	315	170	145
21	318	172	146
22	313	169	144
23	326	174	152
24	330	177	153
25	319	170	149
26	328	175	153
27	325	177	148
28	317	174	143
29	317	169	148
30	323	174	149
31	325	177	148
32	326	175	151
33	324	173	151
34	323	170	153
35	332	180	152
36	327	182	145
37	318	177	141
38	323	180	143
39	320	178	142
40	316	178	138
41	314	176	138
42	310	177	133
43	313	185	128
44	310	179	131
45	313	179	134
46	312	179	133
47	313	180	133
48	312	182	130
49	311	177	134
50	308	180	128
51	307	179	128
52	320	187	133
53	323	184	139
54	326	187	139
55	327	188	139
56	330	193	137
57	324	188	136
58	323	181	142
59	319	176	143
60	310	171	139
61	308	174	134
62	315	184	131
63	319	185	134
64	320	187	133
65	321	184	137
66	329	190	139
67	319	188	131
68	323	185	138
69	322	190	132
70	317	189	128
71	318	191	127
72	318	193	125
73	326	195	131
74	330	199	131
75	320	190	130
76	316	185	131
77	333	200	133
78	327	198	129
79	324	199	125
80	329	198	131
81	329	199	130
82	327	198	129
83	319	192	127
84	323	191	132
85	335	197	138
86	331	196	135
87	337	199	138
88	333	200	133
89	332	197	135
90	329	195	134
91	329	195	134
92	335	196	139
93	336	198	138
94	333	197	136
95	332	193	139
96	326	189	137
97	332	199	133
98	334	200	134
99	329	197	132
100	325	192	133
101	327	192	135
102	330	192	138
103	336	197	139
104	329	195	134
105	320	188	132
106	326	194	132
107	321	191	130
108	322	191	131
109	324	191	133
110	315	185	130
111	317	180	137
112	320	184	136
113	327	187	140
114	328	189	139
115	321	186	135
116	331	188	143
117	333	187	146
118	334	191	143
119	335	190	145
120	335	185	150
121	330	182	148
122	332	185	147
123	333	185	148
124	341	192	149
125	338	189	149
126	333	189	144
127	332	182	150
128	332	179	153
129	333	180	153
130	337	183	154
131	335	182	153
132	329	174	155
133	327	175	152
134	326	176	150
135	328	177	151
136	322	172	150
137	329	180	149
138	329	180	149
139	326	177	149
140	317	173	144
141	321	173	148
142	324	174	150
143	320	175	145
144	322	173	149
145	318	171	147
146	319	172	147
147	313	170	143
148	313	170	143
149	321	175	146
150	321	174	147
151	322	175	147
152	326	179	147
153	325	173	152
154	326	177	149
155	327	179	148
156	330	181	149
157	334	178	156
158	326	170	156
159	327	170	157
160	331	172	159
161	322	166	156
162	332	175	157
163	335	173	162
164	339	175	164
165	342	179	163
166	341	180	161
167	340	180	160
168	337	178	159
169	343	179	164
170	335	178	157
171	337	177	160
172	333	175	158
173	330	178	152
174	323	176	147
175	317	174	143
176	315	176	139
177	311	169	142
178	317	172	145
179	313	175	138
180	307	169	138
181	314	175	139
182	310	174	136
183	315	182	133
184	317	181	136
185	324	179	145
186	329	182	147
187	321	179	142
188	326	181	145
189	310	171	139
190	313	177	136
191	328	187	141
192	322	182	140
193	330	186	144
194	330	183	147
195	332	184	148
196	331	182	149
197	328	183	145
198	323	181	142
199	327	184	143
200	324	185	139
201	319	183	136
202	319	187	132
203	316	183	133
204	328	191	137
205	321	187	134
206	333	191	142
207	329	190	139
208	328	190	138
209	328	183	145
210	319	180	139
211	317	177	140
212	319	176	143
213	327	182	145
214	318	176	142
215	321	180	141
216	329	186	143
217	334	189	145
218	328	192	136
219	323	184	139
220	320	183	137
221	330	183	147
222	333	186	147
223	331	180	151
224	330	182	148
225	327	181	146
226	319	173	146
227	323	179	144
228	327	185	142
229	330	190	140
230	330	188	142
231	318	181	137
232	318	176	142
233	324	177	147
234	322	177	145
235	332	182	150
236	332	183	149
237	331	183	148
238	336	187	149
239	321	174	147
240	322	178	144
241	317	175	142
242	317	179	138
243	313	178	135
244	317	178	139
245	316	174	142
246	320	177	143
247	323	177	146
248	326	177	149
249	323	176	147
250	321	173	148
251	316	171	145
252	321	173	148
253	322	173	149
254	315	169	146
255	322	176	146
256	330	182	148
257	327	179	148
258	330	179	151
259	328	180	148
260	329	182	147
261	334	190	144
262	329	184	145
263	337	185	152
264	334	186	148
265	329	180	149
266	335	185	150
267	326	182	144
268	324	181	143
269	319	177	142
270	316	173	143
271	319	175	144
272	311	169	142
273	315	174	141
274	312	173	139
275	317	174	143
276	321	180	141
277	316	175	141
278	308	170	138
279	315	174	141
280	314	168	146
281	315	170	145
282	321	176	145
283	323	177	146
284	324	177	147
285	318	172	146
286	318	170	148
287	317	170	147
288	323	170	153
289	317	169	148
290	314	165	149
291	309	165	144
292	320	172	148
293	315	167	148
294	320	169	151
295	320	172	148
296	321	172	149
297	311	164	147
298	318	170	148
299	322	174	148
300	327	176	151
301	333	180	153
302	331	180	151
303	322	174	148
304	319	171	148
305	308	163	145
306	325	177	148
307	320	173	147
308	322	176	146
309	314	168	146
310	315	167	148
311	319	169	150
312	316	167	149
313	318	168	150
314	320	169	151
315	318	169	149
316	322	173	149
317	323	173	150
318	324	172	152
319	317	172	145
320	314	168	146
321	315	165	150
322	309	158	151
323	316	160	156
324	318	164	154
325	315	161	154
326	320	163	157
327	318	161	157
328	318	159	159
329	329	168	161
330	329	169	160
331	333	171	162
332	323	167	156
333	330	165	165
334	324	164	160
335	329	167	162
336	315	159	156
337	317	161	156
338	325	167	158
339	329	166	163
340	321	160	161
341	311	155	156
342	306	151	155
343	313	154	159
344	311	156	155
345	306	154	152
346	314	155	159
347	311	151	160
348	309	148	161
349	317	157	160
350	314	155	159
351	318	158	160
352	322	160	162
353	319	157	162
354	325	159	166
355	318	157	161
356	318	157	161
357	313	154	159
358	313	157	156
359	313	154	159
360	309	149	160
361	320	161	159
362	327	164	163
363	326	163	163
364	326	160	166
365	314	155	159
366	313	152	161
367	312	154	158
368	312	152	160
369	313	154	159
370	319	157	162
371	326	165	161
372	333	165	168
373	338	167	171
374	325	161	164
375	328	162	166
376	319	157	162
377	321	160	161
378	321	162	159
379	326	170	156
380	330	172	158
381	321	166	155
382	326	167	159
383	324	165	159
384	325	168	157
385	329	168	161
386	332	166	166
387	323	162	161
388	317	163	154
389	327	164	163
390	328	164	164
391	327	164	163
392	329	161	168
393	331	167	164
394	329	164	165
395	325	168	157
396	320	165	155
397	328	171	157
398	327	170	157
399	325	169	156
400	327	168	159
401	332	172	160
402	339	179	160
403	339	178	161
404	338	175	163
405	336	173	163
406	328	171	157
407	323	168	155
408	318	161	157
409	319	164	155
410	324	165	159
411	320	166	154
412	319	162	157
413	328	168	160
414	323	166	157
415	326	170	156
416	323	168	155
417	328	173	155
418	333	176	157
419	327	172	155
420	329	170	159
421	329	174	155
422	338	183	155
423	333	177	156
424	330	177	153
425	339	182	157
426	335	180	155
427	333	177	156
428	324	174	150
