it.	N	N_h	N_v
429	317	169	148
430	319	169	150
431	321	168	153
432	321	170	151
433	318	165	153
434	320	169	151
435	323	174	149
436	318	172	146
437	332	182	150
438	336	185	151
439	317	174	143
440	322	176	146
441	329	181	148
442	336	184	152
443	332	183	149
444	332	179	153
445	337	180	157
446	339	182	157
447	333	184	149
448	338	180	158
449	334	178	156
450	337	176	161
451	335	177	158
452	330	175	155
453	336	180	156
454	341	181	160
455	342	185	157
456	339	181	158
457	348	186	162
458	340	178	162
459	336	180	156
460	343	179	164
461	344	182	162
462	348	184	164
463	343	185	158
464	350	188	162
465	336	184	152
466	330	182	148
467	326	177	149
468	331	180	151
469	327	177	150
470	322	175	147
471	325	182	143
472	324	181	143
473	321	181	140
474	309	173	136
475	307	171	136
476	306	171	135
477	318	176	142
478	317	174	143
479	316	168	148
480	328	173	155
481	330	173	157
482	328	174	154
483	327	173	154
484	331	177	154
485	334	177	157
486	334	175	159
487	340	178	162
488	342	182	160
489	335	179	156
490	327	177	150
491	322	172	150
492	318	170	148
493	323	178	145
494	326	183	143
495	322	182	140
496	323	181	142
497	325	183	142
498	334	188	146
499	333	187	146
500	336	185	151
501	337	184	153
502	332	183	149
503	332	183	149
504	331	185	146
505	326	184	142
506	333	183	150
507	331	183	148
508	329	178	151
509	329	182	147
510	330	184	146
511	323	182	141
512	323	180	143
513	318	176	142
514	327	182	145
515	331	183	148
516	333	185	148
517	329	186	143
51
